Geneid	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample56	sample57	sample51	sample52	sample53	sample54	sample55
PTmerged497	524	359	888	434	1405	1082	1401	898	260	239	284	257	218	266	307	270	231	216
PTmerged498	813	526	1254	634	1185	960	1149	666	848	704	815	1019	916	667	900	757	391	326
PTmerged499	166	119	273	127	415	399	585	220	282	259	258	274	261	369	457	396	406	370
PTmerged501	1548	896	2534	1271	58	38	48	35	8	4	7	12	7	4	5	10	1	5
PTmerged502	308	207	425	321	1517	1324	1862	1014	1136	976	1010	1266	1059	1236	1654	1359	1088	976
PTmerged503	691	427	1079	513	690	657	826	378	37	45	31	32	30	41	30	30	30	17
PTmerged504	999	763	1724	885	1207	1032	1456	621	933	923	838	1151	917	1087	1408	1148	993	880
PTmerged505	813	464	1179	605	2210	2051	2212	1284	150	128	130	94	87	87	87	90	82	72
PTmerged506	906	730	1579	795	933	775	911	560	751	701	741	830	676	832	995	796	487	490
PTmerged507	315	305	610	318	607	508	584	361	580	552	569	576	465	614	760	629	313	322
PTmerged508	607	455	1007	501	347	291	347	205	173	154	176	256	213	218	236	169	177	170
PTmerged509	337	223	442	267	298	289	345	212	203	251	210	265	257	352	411	343	231	251
PTmerged510	549	389	889	390	838	745	1021	492	188	183	171	189	147	185	208	209	163	142
PTmerged511	108	63	181	88	278	163	191	117	134	122	139	221	168	233	259	229	251	231
PTmerged512	1068	704	1716	836	2910	2260	2642	1589	268	288	286	244	216	294	338	292	256	257
PTmerged513	338	240	553	244	818	691	905	515	198	225	210	234	184	234	305	266	191	171
PTmerged514	182	113	251	171	150	145	236	87	595	473	551	505	520	517	622	619	588	543
PTmerged515	182	113	251	171	150	145	236	87	595	473	551	505	519	516	623	619	586	545
PTmerged517	9	16	16	9	0	0	0	0	87	92	98	41	25	65	81	63	28	29
PTmerged522	416	280	660	547	792	604	752	419	3584	3069	3707	3606	3106	2798	3524	3178	3192	2855
PTmerged523	42	46	45	70	1	0	2	4	262	346	231	707	574	691	823	633	256	197
PTmerged524	99	88	122	189	0	0	0	0	3020	2477	2473	1937	1447	2537	2873	2466	616	726
PTmerged525	3172	2172	4934	5220	3797	4218	5621	2738	61579	54456	59419	67358	59993	62820	77780	68632	83004	73991
PTmerged526	9	2	11	5	52	53	37	37	22	17	33	291	220	353	435	416	370	302
PTmerged527	30	4	36	25	33	39	41	13	122	79	100	170	138	113	129	114	330	263
PTmerged528	1074	691	1798	762	5	3	3	1	1	0	0	80	64	0	0	0	131	97
PTmerged529	122	62	194	120	55	73	80	42	324	325	339	419	349	489	640	584	709	548
PTmerged530	56	40	85	49	82	48	70	37	331	251	318	232	194	219	255	203	242	237
PTmerged531	693	520	998	533	598	491	524	341	81	102	100	96	74	110	158	111	100	98
PTmerged532	181	146	264	135	1005	798	833	529	25	29	23	72	70	63	51	39	62	36
PTmerged533	181	145	261	135	1001	795	827	525	25	29	22	69	64	63	51	38	48	31
PTmerged534	80	59	112	53	104	89	119	83	17	23	13	303	239	15	16	19	11	9
PTmerged535	11	7	16	19	425	436	635	249	40	38	43	332	284	743	962	742	0	0
PTmerged536	1144	893	2338	959	3331	2736	3386	1840	397	394	357	405	343	396	496	438	520	444
PTmerged537	5632	3266	8799	4059	12397	11097	12851	7266	826	702	843	826	702	775	983	791	1078	1037
PTmerged538	0	0	0	0	1	0	0	1	4	2	1	5	5	28	33	29	88	77
PTmerged539	549	370	787	432	1408	1044	1125	833	101	119	106	112	82	68	79	81	104	112
PTmerged540	554	373	793	436	1410	1050	1134	839	104	121	109	117	89	71	84	78	108	118
PTmerged541	242	220	473	244	310	290	415	197	403	357	421	400	351	494	601	502	424	356
PTmerged542	854	600	1320	610	1056	839	990	678	113	90	114	113	86	157	196	151	93	78
PTmerged543	894	517	1306	542	1345	1134	1318	735	542	430	509	638	544	493	600	511	533	554
PTmerged545	64	33	89	56	69	67	77	37	180	184	186	194	137	254	355	268	213	199
PTmerged544	66	35	90	57	70	70	78	38	182	185	186	194	137	254	357	268	215	199
PTmerged546	334	259	583	320	1226	866	1109	659	158	225	168	225	222	270	396	321	214	168
PTmerged547	207	125	314	234	268	208	250	160	1777	1655	1798	2116	2005	2164	2819	2348	2682	2355
PTmerged548	3031	2592	4698	4781	3601	3815	5656	2494	40890	38683	39348	46373	43313	36621	45995	39601	62511	54740
PTmerged549	427	276	768	347	1116	963	1194	673	43	54	47	46	44	40	54	42	37	33
PTmerged550	45	31	67	61	76	75	119	51	481	368	489	313	297	535	670	589	500	434
PTmerged551	139	117	232	117	79	81	127	29	258	217	235	199	157	265	333	257	205	177
PTmerged552	62	55	141	64	71	63	88	55	156	138	127	91	79	121	141	94	97	97
PTmerged553	470	355	761	475	938	787	1019	577	2041	1722	1891	1993	1680	2176	2737	2410	1757	1638
PTmerged557	68	47	106	45	141	195	168	112	271	310	242	79	69	315	309	293	36	20
PTmerged558	49	67	110	43	132	120	176	78	652	691	606	704	602	685	824	743	443	374
PTmerged559	134	81	217	99	1133	1039	1249	751	44	50	48	12	7	14	7	6	22	26
PTmerged560	320	261	580	288	410	366	457	263	530	494	557	429	358	485	626	518	627	619
PTmerged561	1139	730	1981	949	191	168	210	82	94	80	101	160	132	139	141	123	305	332
PTmerged562	1139	730	1981	949	191	168	210	82	94	80	101	160	132	139	141	123	305	332
PTmerged563	142	100	236	158	124	109	106	84	1206	1021	1293	1485	1296	800	1050	970	1245	909
PTmerged564	1607	1096	2595	1290	1933	1727	2166	1179	5449	5049	5262	5831	5129	4498	5645	4798	5890	4799
PTmerged565	1607	1099	2592	1290	1935	1727	2171	1180	5448	5047	5261	5831	5127	4497	5644	4796	5888	4798
PTmerged566	5311	3388	8846	3864	3770	3251	4014	2209	447	466	500	516	416	714	882	700	346	309
PTmerged567	3941	2974	5915	6647	5486	5958	7579	4194	105357	94968	102581	88958	78651	95782	121034	106555	115764	101088
PTmerged568	406	250	737	370	1171	982	1048	679	1084	851	1121	1345	1219	1306	1559	1327	1157	1105
PTmerged569	2383	2858	4363	3476	18111	20044	29089	10079	234994	221757	229409	31636	27443	166466	215566	184366	210833	188003
PTmerged570	2381	2856	4357	3474	18111	20043	29088	10079	234964	221738	229388	31621	27429	165753	214617	183617	210818	187983
PTmerged571	77	81	181	98	56	43	47	21	265	253	263	209	197	225	284	245	305	278
PTmerged572	73	70	163	91	52	35	38	18	255	244	252	198	193	221	277	238	295	270
PTmerged573	529	299	866	300	729	714	725	458	81	59	70	104	87	107	136	105	84	93
PTmerged574	29	10	32	46	12	11	11	18	453	389	462	573	515	339	448	366	424	380
PTmerged575	20652	13140	31115	34651	12549	13096	16553	10716	425201	376043	406681	326995	299652	332256	419531	363880	431639	369846
PTmerged576	38	20	43	64	24	40	47	23	884	658	740	620	524	716	868	755	415	375
PTmerged577	38	20	44	64	24	40	47	23	886	660	745	620	524	716	869	755	416	376
PTmerged578	657	529	1063	493	1478	1249	1479	903	60	48	45	50	39	45	28	25	44	35
PTmerged579	98	61	166	88	120	137	128	61	124	172	149	185	156	231	228	219	170	177
PTmerged580	3378	2290	5883	2485	7787	6526	7473	4548	225	164	211	196	167	124	184	129	169	216
PTmerged581	2072	1312	3296	1652	4797	4196	4866	2960	701	661	744	803	681	923	1201	973	978	864
PTmerged582	97	72	184	81	50	68	94	31	98	109	98	177	153	239	265	245	179	153
PTmerged583	384	225	541	270	1276	1117	1238	747	125	126	107	132	111	117	144	127	99	104
PTmerged584	828	567	1398	626	845	714	815	505	654	631	611	484	420	458	540	478	232	245
PTmerged585	417	253	764	324	1317	970	1127	720	140	129	158	166	132	94	145	120	103	82
PTmerged586	39	37	98	100	26	37	45	13	1119	1004	1096	550	533	574	669	559	648	540
PTmerged587	1288	891	1961	913	26	27	29	22	1	1	0	0	0	0	1	1	0	1
PTmerged588	391	190	509	280	809	671	707	387	24	30	27	13	11	8	11	11	9	14
PTmerged589	3718	2368	5302	6320	2006	2078	2310	1734	68755	59889	68280	62491	57855	40161	49764	43582	81467	69295
PTmerged590	612	397	936	973	338	308	402	278	8803	7782	8471	10941	9563	7527	9584	8571	10903	8765
PTmerged591	988	582	1560	744	1746	1600	1939	1129	224	192	185	316	232	396	466	397	277	229
PTmerged592	1018	611	1494	683	2557	2175	2618	1471	88	90	95	58	61	65	83	53	82	67
PTmerged593	441	298	763	353	567	476	553	327	418	439	370	459	399	483	648	522	431	403
PTmerged594	121	72	141	100	118	103	145	66	371	355	348	338	289	342	405	359	343	302
PTmerged595	306	240	566	216	871	779	882	508	110	105	83	99	93	102	111	101	106	88
PTmerged596	1140	792	1734	975	1928	1686	2085	1164	295	296	368	279	257	224	240	200	217	247
PTmerged597	70	61	142	75	226	175	239	81	106	116	106	194	148	149	177	183	203	168
PTmerged598	1157	745	1734	891	3072	2350	2585	1740	497	426	432	486	355	654	826	685	466	418
PTmerged599	33	51	76	41	108	60	84	64	214	267	196	138	140	273	286	269	97	82
PTmerged600	392	262	584	255	681	631	740	422	88	99	100	96	58	89	104	81	88	92
PTmerged601	347	257	524	234	385	352	394	272	29	43	42	21	37	17	25	14	24	35
PTmerged603	11	7	23	14	873	731	1007	553	7	7	4	7	14	20	16	19	1	2
PTmerged602	11	7	23	14	873	731	1007	553	7	7	4	7	14	20	16	19	1	2
PTmerged604	730	814	797	805	75	64	119	35	2762	2653	2407	3030	2068	4449	6066	5378	659	477
PTmerged605	2513	1665	4101	1714	4526	3591	4284	2744	180	154	166	196	165	142	178	112	168	191
PTmerged606	2513	1664	4101	1713	4526	3591	4283	2744	180	154	166	196	165	142	178	112	168	191
PTmerged607	5931	5786	9200	9583	6376	7181	10290	3846	94308	86940	91810	87278	74349	90769	114770	98433	96440	85175
PTmerged608	1658	1061	2744	1205	2120	1723	2142	1242	158	189	177	158	134	173	225	175	147	143
PTmerged609	1585	1019	2641	1156	2011	1637	2028	1182	143	175	163	155	126	160	218	163	140	136
PTmerged610	690	478	1147	584	2504	1989	2313	1547	201	191	197	166	137	144	148	152	197	182
PTmerged611	949	550	1522	672	1864	1626	1875	1083	266	239	262	322	297	290	349	281	286	258
PTmerged612	587	350	841	428	756	591	738	521	123	96	93	89	77	73	82	75	107	68
PTmerged613	973	738	1357	621	2070	1629	1847	1303	121	138	103	79	66	86	66	53	67	54
PTmerged615	909	675	1586	761	1613	1352	1705	1042	148	155	146	232	169	85	115	86	86	73
